dataset,label0,label1,count0,count1,samples,balance
NCI-H23,01:1cb3c5de3f8b1f78111f5c83e2947667,,3288,1986,5274,0.60
NCI-H23,03:3861826d1ee57430f94636baf76bc466,,2856,1984,4840,0.69
NCI-H23,02:d89717bf8a73761ccf2633c0fb99a828,,2576,1982,4558,0.77
NCI-H23,02:464e6dd489b9b7225c46646084237d80,,2602,1975,4577,0.76
NCI-H23,02:5191e000543c5c81390fecbe79f6a567,,3680,1974,5654,0.54
NCI-H23,01:6a010362d7d04d347edf102e14e8d17f,,2846,1972,4818,0.69
NCI-H23,01:4315c6122a9069c9b11d1180951f5b53,,3152,1969,5121,0.62
NCI-H23,02:dd9c082c7fa722dbbf317db1b7bdf626,,3074,1966,5040,0.64
NCI-H23,01:cbd4cfa8854e36c1da153fbfc49cbd5b,,2405,1957,4362,0.81
NCI-H23,02:1238461d039a1979e0a58bd6afbbc32c,,2527,1956,4483,0.77
NCI-H23,01:4d630fa98f01f0f1dcc47c323743dccd,,3350,1955,5305,0.58
NCI-H23,01:f40f20d39e8d7a87494b8deb00974047,,3177,1951,5128,0.61
NCI-H23,02:665d3f32fb595a67d28e10bce728c1f4,,3696,1922,5618,0.52
NCI-H23,01:8a8683d8e4e47f0171dd2bb744be466a,,4954,1914,6868,0.39
NCI-H23,02:80f034c209ec8766af0f2619e1bfa99f,,4954,1914,6868,0.39
NCI-H23,02:77a31408da712b1bc1fa77e81a6bdd8f,,2474,1912,4386,0.77
NCI-H23,03:2bb1fd5b3ca957e0ce0b91d830b78312,,2474,1912,4386,0.77
NCI-H23,01:6e87c6a96aa5212b2a7bd4223d278f50,,2854,1902,4756,0.67
NCI-H23,02:dba282b7db8650a3074aa32036c683c9,,2835,1902,4737,0.67
NCI-H23,02:4c2914f665661e9c7a97a0bcb1b15780,,3575,1895,5470,0.53
NCI-H23,02:4a19c56eceb2af1448c880c4cf6dbb68,,3106,1895,5001,0.61
NCI-H23,01:084e3bbb2a152e82fcfddacb1bda56e8,,3888,1879,5767,0.48
NCI-H23,02:c6ee4695bd935900d0337916e1ea23a3,,4243,1875,6118,0.44
NCI-H23,01:f446e3e32408de037845db27af118a33,,5676,1868,7544,0.33
NCI-H23,02:cf79e496e196bdc1fdbab236ecfbf968,,2532,1856,4388,0.73
NCI-H23,03:fae422c2f0602bbc8d746ed31612f6d7,,2532,1856,4388,0.73
NCI-H23,01:37cb61156a7e6a648e9474459ed96bb3,,5933,1855,7788,0.31
NCI-H23,02:51796e66aed3aca766ec178e8c970f1c,,2519,1841,4360,0.73
NCI-H23,03:5fe166119d0deb63b24c688df2006586,,2655,1835,4490,0.69
NCI-H23,01:306bba0232fc46dd395dfd3674efb043,,6481,1828,8309,0.28
NCI-H23,02:4877367ef9ab055863b947c07e927e2b,,2814,1821,4635,0.65
NCI-H23,02:cca9be1e12ff52f3e0c056449a3eb64d,,2593,1808,4401,0.70
NCI-H23,03:e481b34b7a6b615cbc8c94c632ec53e5,,2593,1808,4401,0.70
NCI-H23,02:44ac54f3384ccaba38169986be138276,,3203,1804,5007,0.56
NCI-H23,03:1dcf8c6acc73ce9fed22e82ec6950d59,,3203,1804,5007,0.56
NCI-H23,02:99eab47f7b5a3651a3bd068a57820998,,3441,1799,5240,0.52
NCI-H23,01:bdea73a52fc420d7ff82879fb72b370b,,3856,1792,5648,0.46
NCI-H23,02:6069ee2df5d6189e541a117442442faa,,3955,1784,5739,0.45
NCI-H23,02:9680b973282dee8a1b353bacfcab9c5a,,3109,1778,4887,0.57
NCI-H23,01:e4796f4cca7cb4d0f839dae3e9b85f3e,,6022,1776,7798,0.29
NCI-H23,02:f2a52df187b02ea74a1bd48ecb5babf4,,3257,1768,5025,0.54
NCI-H23,03:f25a7c3ac44b3449ca84eddfa918f847,,3257,1768,5025,0.54
NCI-H23,02:d537dc70fd2b49cb161b3db97a789869,,3809,1758,5567,0.46
NCI-H23,02:ed1e8884336a944a17c4f095d78ad7e6,,4534,1756,6290,0.39
NCI-H23,02:fa26a863793df7ae37bc53bbd7d3b3bf,,3573,1747,5320,0.49
NCI-H23,02:a6168a5e476c77c90340b7f859989b4c,,4754,1741,6495,0.37
NCI-H23,02:da942b9ec0bcf7117f328682fd90e171,,2964,1733,4697,0.58
NCI-H23,02:500c50e1451a93aa12d2b5bf78ad4aea,,3406,1729,5135,0.51
NCI-H23,02:ab57a9cf6a56e57d81dbd7475cd26f52,,4379,1725,6104,0.39
NCI-H23,02:6dbe4fa455c30b7a9625b42488515b1e,,3130,1725,4855,0.55
NCI-H23,02:a4f8c3124c85be423f2528251aa89ead,,3017,1723,4740,0.57
NCI-H23,02:37e06ee601db2f20bcb80cb7a8495e64,,5173,1711,6884,0.33
NCI-H23,01:a4ef450f3f7518847ea88b96e055c223,,4519,1689,6208,0.37
NCI-H23,02:379f9030d2c3f1dc8b65fd57b4cc56b4,,3350,1683,5033,0.50
NCI-H23,02:0dbb852f0053ac44de3103179cdb45d6,,3032,1675,4707,0.55
NCI-H23,01:0bb389b12346dc3a33bc96653224bb46,,2714,1673,4387,0.62
NCI-H23,01:5d7d1403d53292740c12da79e9a3b43d,,6467,1664,8131,0.26
NCI-H23,02:9951bc9e3bf024ec6542563ceedc0415,,3338,1617,4955,0.48
NCI-H23,02:5f89fa2ba56e0816109b7b7a701b667c,,2960,1596,4556,0.54
NCI-H23,02:279a16b20b199cc6757db7021808789b,,3618,1590,5208,0.44
NCI-H23,02:89ba7f08f7256493d6003652202319e3,,4597,1551,6148,0.34
NCI-H23,02:e97400e9da6c4d9ed81a9dde7e8bf731,,5215,1403,6618,0.27
NCI-H23,03:bc024b8c72e9fb75cd2d8489a726661d,,5215,1403,6618,0.27
NCI-H23,02:354e6647d4a4f4080ce49df42f15223a,,5154,1323,6477,0.26
NCI1,,02:a355458c6a7cf7e453160375f1b55649,1386,1114,2500,0.80
NCI1,,01:a7d9b83145654c07790172dcd5a7b61c,1057,1300,2357,0.81
NCI1,,01:2ebd9ac9059c44341593ffe062223595,1141,1057,2198,0.93
NCI1,,01:7c82ae96e6e4f158d9a0e7e289c6cab4,1034,1250,2284,0.83
NCI1,,01:702ead2a58e99387e754ab32bea96576,959,1485,2444,0.65
NCI1,,01:85c8ff98fe896e8ac9b9f0cfc9de1657,926,1270,2196,0.73
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,,1230,911,2141,0.74
NCI1,03:33d3c163bb6c0826264e988c50b678d1,,805,1385,2190,0.58
NCI1,01:dc17532c495527c57f92fd5e26993c9f,,798,1385,2183,0.58
NCI1,,01:760d6b5df69317ed0a069e2609bb2771,786,1428,2214,0.55
NCI1,,01:eb07b23e9ae0447795e18c4290d34441,1475,779,2254,0.53
NCI1,,01:d989828e3ba6121ffbb18a77ef8520ea,1375,778,2153,0.57
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,,735,1435,2170,0.51
NCI1,,02:354e6647d4a4f4080ce49df42f15223a,1776,734,2510,0.41
NCI1,,02:08d67943ef5ef0b5f7f87c3b78e6aef9,1493,724,2217,0.48
NCI1,,02:5ecbe997f6ba4ab448e09dd7742ac734,1496,716,2212,0.48
NCI1,,01:89f698e3e1554e30f713baddf67a6259,1617,714,2331,0.44
NCI1,,02:cbd4aaf041f9c40683f7422dd5396386,1627,712,2339,0.44
NCI1,,01:a2e52562004ee025ea81ce1a75923c92,1512,696,2208,0.46
NCI1,,02:e97400e9da6c4d9ed81a9dde7e8bf731,1761,654,2415,0.37
NCI1,,03:bc024b8c72e9fb75cd2d8489a726661d,1761,654,2415,0.37
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:a7d9b83145654c07790172dcd5a7b61c,658,653,1311,0.99
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:354e6647d4a4f4080ce49df42f15223a,725,607,1332,0.84
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:a355458c6a7cf7e453160375f1b55649,582,755,1337,0.77
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:702ead2a58e99387e754ab32bea96576,581,747,1328,0.78
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,,579,1686,2265,0.34
NCI1,,02:bbecb1f1073f446a1b89a34c3f6effab,1663,570,2233,0.34
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:08d67943ef5ef0b5f7f87c3b78e6aef9,587,569,1156,0.97
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:89f698e3e1554e30f713baddf67a6259,647,566,1213,0.87
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:a355458c6a7cf7e453160375f1b55649,836,566,1402,0.68
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:cbd4aaf041f9c40683f7422dd5396386,652,564,1216,0.87
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:7c82ae96e6e4f158d9a0e7e289c6cab4,667,555,1222,0.83
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:eb07b23e9ae0447795e18c4290d34441,573,551,1124,0.96
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:08d67943ef5ef0b5f7f87c3b78e6aef9,590,543,1133,0.92
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:08d67943ef5ef0b5f7f87c3b78e6aef9,540,547,1087,0.99
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:354e6647d4a4f4080ce49df42f15223a,663,536,1199,0.81
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:a355458c6a7cf7e453160375f1b55649,536,782,1318,0.69
NCI1,00:3,,531,1660,2191,0.32
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:eb07b23e9ae0447795e18c4290d34441,554,529,1083,0.95
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:a355458c6a7cf7e453160375f1b55649,528,819,1347,0.64
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:354e6647d4a4f4080ce49df42f15223a,525,665,1190,0.79
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:354e6647d4a4f4080ce49df42f15223a,720,522,1242,0.72
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:eb07b23e9ae0447795e18c4290d34441,604,519,1123,0.86
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:e97400e9da6c4d9ed81a9dde7e8bf731,707,517,1224,0.73
NCI1,03:33d3c163bb6c0826264e988c50b678d1,03:bc024b8c72e9fb75cd2d8489a726661d,707,517,1224,0.73
NCI1,,02:89ba7f08f7256493d6003652202319e3,1788,506,2294,0.28
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:e97400e9da6c4d9ed81a9dde7e8bf731,505,598,1103,0.84
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,03:bc024b8c72e9fb75cd2d8489a726661d,505,598,1103,0.84
NCI1,03:33d3c163bb6c0826264e988c50b678d1,02:5ecbe997f6ba4ab448e09dd7742ac734,583,504,1087,0.86
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:89f698e3e1554e30f713baddf67a6259,583,499,1082,0.86
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:cbd4aaf041f9c40683f7422dd5396386,584,497,1081,0.85
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:a2e52562004ee025ea81ce1a75923c92,632,489,1121,0.77
NCI1,00:3,02:354e6647d4a4f4080ce49df42f15223a,487,642,1129,0.76
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:d989828e3ba6121ffbb18a77ef8520ea,519,486,1005,0.94
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:5ecbe997f6ba4ab448e09dd7742ac734,560,482,1042,0.86
NCI1,01:dc17532c495527c57f92fd5e26993c9f,01:89f698e3e1554e30f713baddf67a6259,628,479,1107,0.76
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:cbd4aaf041f9c40683f7422dd5396386,629,477,1106,0.76
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:5ecbe997f6ba4ab448e09dd7742ac734,610,474,1084,0.78
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,01:85c8ff98fe896e8ac9b9f0cfc9de1657,515,474,989,0.92
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:cbd4aaf041f9c40683f7422dd5396386,472,647,1119,0.73
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,01:89f698e3e1554e30f713baddf67a6259,469,649,1118,0.72
NCI1,00:3,02:e97400e9da6c4d9ed81a9dde7e8bf731,463,543,1006,0.85
NCI1,00:3,03:bc024b8c72e9fb75cd2d8489a726661d,463,543,1006,0.85
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:7c82ae96e6e4f158d9a0e7e289c6cab4,461,879,1340,0.52
NCI1,02:43cef32b18cc4c646b58ec18e9953f13,02:354e6647d4a4f4080ce49df42f15223a,1107,454,1561,0.41
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:2ebd9ac9059c44341593ffe062223595,453,642,1095,0.71
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:bbecb1f1073f446a1b89a34c3f6effab,496,451,947,0.91
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,02:e97400e9da6c4d9ed81a9dde7e8bf731,630,447,1077,0.71
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,03:bc024b8c72e9fb75cd2d8489a726661d,630,447,1077,0.71
NCI1,00:1,,1671,446,2117,0.27
NCI1,03:d145c98eeabbd3c158ba5aa0ca8b0c2a,02:89ba7f08f7256493d6003652202319e3,509,444,953,0.87
NCI1,02:7f51e80445ee77d92783b8ff94437cbc,01:a2e52562004ee025ea81ce1a75923c92,565,442,1007,0.78
NCI1,00:3,02:cbd4aaf041f9c40683f7422dd5396386,439,593,1032,0.74
NCI1,00:3,01:89f698e3e1554e30f713baddf67a6259,437,595,1032,0.73
NCI1,03:33d3c163bb6c0826264e988c50b678d1,01:a7d9b83145654c07790172dcd5a7b61c,437,935,1372,0.47
NCI1,01:dc17532c495527c57f92fd5e26993c9f,02:e97400e9da6c4d9ed81a9dde7e8bf731,685,430,1115,0.63
NCI1,01:dc17532c495527c57f92fd5e26993c9f,03:bc024b8c72e9fb75cd2d8489a726661d,685,430,1115,0.63
